Start_Time,End_Time,Instance,InstanceID,InstanceStatus,Price,Market,Region,Zone,Algorithm_Name,Allocation_Strategy,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2025-04-22 12:40:23.414459,2025-04-22 12:40:46.547935,c7i.48xlarge,i-010f1e6712a3baa68,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:40:33.425014,2025-04-22 12:40:46.558765,c7i.48xlarge,i-0be9260d62ddd91fc,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:40:28.419767,2025-04-22 12:40:50.611584,c7i.48xlarge,i-019a182888a86c05a,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:40:48.440967,2025-04-22 12:40:59.308316,c7i.48xlarge,i-0be65f6ae0e97a7e5,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:40:18.409166,2025-04-22 12:41:00.939446,c7i.48xlarge,i-0cae57d1dbf3529ae,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,9.39,96.0,96.0,305323.51,3180.45,SUCCESS
2025-04-22 12:40:58.451712,2025-04-22 12:41:09.038601,c7i.48xlarge,i-0d6823f83e048799b,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:40:38.430338,2025-04-22 12:41:10.504604,c7i.48xlarge,i-096cfc6a578406225,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,9.57,96.0,96.0,299470.98,3119.49,SUCCESS
2025-04-22 12:40:43.435665,2025-04-22 12:41:14.615352,c7i.48xlarge,i-0d81ff1e9fb36b781,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,9.53,96.0,96.0,300647.79,3131.75,SUCCESS
2025-04-22 12:40:53.446465,2025-04-22 12:41:25.078527,c7i.48xlarge,i-013f9c460be598fd6,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,10.38,96.0,96.0,276081.07,2875.84,SUCCESS
2025-04-22 12:41:03.456987,2025-04-22 12:41:34.263371,c7i.48xlarge,i-05d30aa0b0757d2f4,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,9.35,96.0,96.0,306630.82,3194.07,SUCCESS
2025-04-22 12:55:35.114756,2025-04-22 12:55:46.364448,c7i.48xlarge,i-0bb232e60fd037a02,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:55:45.125319,2025-04-22 12:55:56.024350,c7i.48xlarge,i-088df90a9e0a73051,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:55:30.110203,2025-04-22 12:56:01.561304,c7i.48xlarge,i-035fba8780450d47e,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,9.38,96,96,305698.97,3184.36,SUCCESS
2025-04-22 12:55:50.130119,2025-04-22 12:56:02.183428,c7i.48xlarge,i-0fbfa691df0c95a57,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:55:40.120093,2025-04-22 12:56:11.267079,c7i.48xlarge,i-0e9b4e9f10450f52a,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,9.33,96,96,307297.87,3201.02,SUCCESS
2025-04-22 12:56:10.151401,2025-04-22 12:56:21.069957,c7i.48xlarge,i-0594e32c85c61655e,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:55:55.135419,2025-04-22 12:56:30.628222,c7i.48xlarge,i-01a3d86e1627f7c3d,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,9.40,96,96,304919.19,3176.24,SUCCESS
2025-04-22 12:56:00.140751,2025-04-22 12:56:31.642910,c7i.48xlarge,i-0c6459f18e075a494,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,9.77,96,96,293505.87,3057.35,SUCCESS
2025-04-22 12:56:05.146043,2025-04-22 12:56:40.900320,c7i.48xlarge,i-098c5f96619da3656,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,9.34,96,96,306834.59,3196.19,SUCCESS
2025-04-22 12:56:15.156651,2025-04-22 12:56:46.347730,c7i.48xlarge,i-09265477a362f6d2f,,,spot,sa-east-1,c,bt.C.x,capacity-optimized,C,9.62,96,96,298012.18,3104.29,SUCCESS
