InstanceType,AvailabilityZone,SpotPrice
c5ad.24xlarge,sa-east-1b,0.7724
m6a.24xlarge,sa-east-1b,0.9779
m6a.24xlarge,sa-east-1b,0.9869
r5n.24xlarge,sa-east-1b,1.1328
c6a.24xlarge,sa-east-1a,1.2207
m5a.24xlarge,sa-east-1a,1.2848
r5ad.24xlarge,sa-east-1c,1.5324
m5a.24xlarge,sa-east-1c,1.5568
c7i.48xlarge,sa-east-1c,1.5627
m6a.24xlarge,sa-east-1a,1.6229
c5.24xlarge,sa-east-1a,1.6533
c5.24xlarge,sa-east-1a,1.6533
c7i.48xlarge,sa-east-1b,1.6608
m5a.24xlarge,sa-east-1b,1.6828
c7i.48xlarge,sa-east-1b,1.6851
c5.24xlarge,sa-east-1c,1.8454
c5.24xlarge,sa-east-1c,1.8588
c5.24xlarge,sa-east-1c,1.8588
m6a.24xlarge,sa-east-1c,1.8627
m6a.24xlarge,sa-east-1c,1.8668
c5.24xlarge,sa-east-1b,1.873
c5.24xlarge,sa-east-1b,1.873
c5.24xlarge,sa-east-1b,1.88
c7i.48xlarge,sa-east-1a,1.8858
m5ad.24xlarge,sa-east-1c,1.9469
m5ad.24xlarge,sa-east-1c,1.9625
c6i.32xlarge,sa-east-1a,2.0552
r5a.24xlarge,sa-east-1a,2.0719
r5a.24xlarge,sa-east-1a,2.0779
m5.24xlarge,sa-east-1a,2.0832
m5.24xlarge,sa-east-1a,2.0998
c5a.24xlarge,sa-east-1b,2.1541
c5ad.24xlarge,sa-east-1a,2.1612
c5a.24xlarge,sa-east-1b,2.1618
c5ad.24xlarge,sa-east-1a,2.1618
m5.24xlarge,sa-east-1c,2.1914
m5.24xlarge,sa-east-1c,2.1984
c6a.24xlarge,sa-east-1b,2.3001
m5.24xlarge,sa-east-1b,2.3093
c6a.24xlarge,sa-east-1b,2.3142
c5d.24xlarge,sa-east-1c,2.425
m5d.24xlarge,sa-east-1a,2.5139
m5ad.24xlarge,sa-east-1a,2.5581
m5ad.24xlarge,sa-east-1a,2.5633
c6i.32xlarge,sa-east-1c,2.5731
c6i.32xlarge,sa-east-1c,2.5752
r5ad.24xlarge,sa-east-1a,2.6084
r5ad.24xlarge,sa-east-1a,2.6229
r5a.24xlarge,sa-east-1c,2.8613
r5a.24xlarge,sa-east-1c,2.9032
c6i.32xlarge,sa-east-1b,3.0029
c6i.32xlarge,sa-east-1b,3.0031
r6i.24xlarge,sa-east-1a,3.0199
c6id.24xlarge,sa-east-1a,3.0463
c5d.24xlarge,sa-east-1a,3.0803
c5d.24xlarge,sa-east-1a,3.0834
r7i.24xlarge,sa-east-1a,3.1172
r5.24xlarge,sa-east-1a,3.1605
r5.24xlarge,sa-east-1b,3.2304
r5.24xlarge,sa-east-1b,3.2357
m5d.24xlarge,sa-east-1c,3.2761
c6id.24xlarge,sa-east-1c,3.3164
c6id.24xlarge,sa-east-1c,3.3268
m5d.24xlarge,sa-east-1b,3.3367
r7i.24xlarge,sa-east-1c,3.3675
r7i.24xlarge,sa-east-1c,3.3744
r5.24xlarge,sa-east-1c,3.3859
r7i.24xlarge,sa-east-1b,3.3952
c5a.24xlarge,sa-east-1c,3.4076
c5a.24xlarge,sa-east-1c,3.4441
m6i.24xlarge,sa-east-1a,3.5559
m6i.24xlarge,sa-east-1a,3.5939
c5a.24xlarge,sa-east-1a,3.6734
m6i.24xlarge,sa-east-1c,3.68
m7i.24xlarge,sa-east-1b,3.6965
c6a.24xlarge,sa-east-1c,3.7006
c5d.24xlarge,sa-east-1b,3.7095
m6i.24xlarge,sa-east-1c,3.7358
m7i.24xlarge,sa-east-1b,3.7406
c6a.24xlarge,sa-east-1c,3.7454
c6in.24xlarge,sa-east-1a,4.0391
m6i.24xlarge,sa-east-1b,4.1371
m6i.24xlarge,sa-east-1b,4.1388
m7i.24xlarge,sa-east-1c,4.2931
c6in.24xlarge,sa-east-1b,4.2941
m7i.24xlarge,sa-east-1c,4.3005
c6in.24xlarge,sa-east-1b,4.3076
r6i.24xlarge,sa-east-1c,4.3138
r6i.24xlarge,sa-east-1c,4.3596
r6i.24xlarge,sa-east-1b,4.449
r6i.24xlarge,sa-east-1b,4.4508
r5d.24xlarge,sa-east-1c,5.1848
r5d.24xlarge,sa-east-1c,5.2012
c6in.24xlarge,sa-east-1c,5.537
r5d.24xlarge,sa-east-1a,5.5917
r5d.24xlarge,sa-east-1b,5.7082
m7i.24xlarge,sa-east-1a,5.775
r5b.24xlarge,sa-east-1b,6.502
r5b.24xlarge,sa-east-1b,6.5146
r5b.24xlarge,sa-east-1c,7.2606
r5n.24xlarge,sa-east-1a,7.673
r5n.24xlarge,sa-east-1a,7.7259
r5n.24xlarge,sa-east-1c,8.7977
r5b.24xlarge,sa-east-1a,9.8843
